,Total load,load_q
5/2/16 8:40,0.919194566,0.459597283
5/2/16 8:40,0.976941395,0.488470697
5/2/16 8:40,1.165964768,0.582982384
5/2/16 8:40,1.293642594,0.646821297
5/2/16 8:40,1.297381941,0.648690971
5/2/16 8:40,1.293227736,0.646613868
5/2/16 8:40,1.264009075,0.632004538
5/2/16 8:40,1.136054208,0.568027104
5/2/16 8:40,0.924456934,0.462228467
5/2/16 8:40,0.978325192,0.489162596
5/2/16 8:40,1.155440031,0.577720015
5/2/16 8:40,1.294335899,0.64716795
5/2/16 8:40,1.299875308,0.649937654
5/2/16 8:40,1.293919635,0.646959817
5/2/16 8:40,1.264561751,0.632280875
5/2/16 8:40,1.141454394,0.570727197
5/2/16 8:40,0.92639622,0.46319811
5/2/16 8:40,0.972093884,0.486046942
5/2/16 8:40,1.147824925,0.573912463
5/2/16 8:40,1.2971049,0.64855245
5/2/16 8:40,1.29461294,0.64730647
5/2/16 8:40,1.292535837,0.646267919
5/2/16 8:40,1.26788624,0.63394312
5/2/16 8:40,1.142839598,0.571419799
5/2/16 8:40,0.925702915,0.462851457
5/2/16 8:40,0.968770801,0.484385401
5/2/16 8:40,1.138546169,0.569273084
5/2/16 8:40,1.291704715,0.645852357
5/2/16 8:40,1.294473716,0.647236858
5/2/16 8:40,1.293504777,0.646752388
5/2/16 8:40,1.266086178,0.633043089
5/2/16 8:40,1.14588564,0.57294282
5/2/16 8:40,0.930411202,0.465205601
5/2/16 8:40,0.960877249,0.480438624
5/2/16 8:40,1.130098535,0.565049267
5/2/16 8:40,1.296135961,0.64806798
5/2/16 8:40,1.292396614,0.646198307
5/2/16 8:40,1.293919635,0.646959817
5/2/16 8:40,1.279933998,0.639966999
5/2/16 8:41,1.198645735,0.599322867
5/2/16 8:41,0.991481113,0.495740557
5/2/16 8:41,0.956446003,0.478223001
5/2/16 8:41,1.086340155,0.543170078
5/2/16 8:41,1.260407545,0.630203773
5/2/16 8:41,1.257638544,0.628819272
5/2/16 8:41,1.261238668,0.630619334
5/2/16 8:41,1.242682561,0.62134128
5/2/16 8:41,1.170535237,0.585267619
5/2/16 8:41,0.97527915,0.487639575
5/2/16 8:41,0.915594442,0.457797221
5/2/16 8:41,1.06445956,0.53222978
5/2/16 8:41,1.257223686,0.628611843
5/2/16 8:41,1.255838482,0.627919241
5/2/16 8:41,1.256392563,0.628196282
5/2/16 8:41,1.246836766,0.623418383
5/2/16 8:41,1.182443772,0.591221886
5/2/16 8:41,0.988295848,0.494147924
5/2/16 8:41,0.909640175,0.454820088
5/2/16 8:41,1.055874108,0.527937054
5/2/16 8:41,1.254315461,0.62715773
